epoch,time,train/pose_loss,train/kobj_loss,train/cls_loss,train/color_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),color_accuracy,val/pose_loss,val/kobj_loss,val/cls_loss,val/color_loss,lr/pg0,lr/pg1,lr/pg2
98,2064.84,1.70878,0.11599,0.25785,0.07009,0.87071,0.96572,0.96542,0.95108,0.87071,0.96572,0.96542,0.95108,0.99765,0.57108,0.0121,0.14581,0.01741,0.000205984,0.000205984,0.000205984
99,2085.73,1.85917,0.12743,0.29574,0.08465,0.90267,0.9468,0.9762,0.9639,0.90267,0.9468,0.9762,0.9639,0.99752,0.59289,0.01186,0.13728,0.02634,0.000205131,0.000205131,0.000205131
100,2106.15,1.71963,0.11114,0.28708,0.06742,0.92373,0.94863,0.97703,0.96433,0.92373,0.94863,0.97703,0.96433,1,0.58072,0.01149,0.14038,0.02113,0.000204272,0.000204272,0.000204272
101,2128.39,1.73411,0.11897,0.26373,0.05534,0.92889,0.94667,0.96944,0.95793,0.92889,0.94667,0.96944,0.95793,1,0.61996,0.01114,0.14948,0.01518,0.000203407,0.000203407,0.000203407
102,2149.58,1.72976,0.11547,0.263,0.05499,0.92411,0.94189,0.97902,0.96745,0.92411,0.94189,0.97902,0.96745,0.99751,0.58781,0.0122,0.13161,0.02903,0.000202535,0.000202535,0.000202535
103,2170.7,1.70964,0.11257,0.25652,0.05802,0.90827,0.94328,0.97362,0.95981,0.90827,0.94328,0.97362,0.95981,0.99491,0.57315,0.01213,0.13927,0.02819,0.000201658,0.000201658,0.000201658
104,2191.72,1.76248,0.11881,0.27099,0.04471,0.92548,0.94736,0.97951,0.96763,0.92548,0.94736,0.97951,0.96763,0.99495,0.58684,0.01476,0.13801,0.02636,0.000200774,0.000200774,0.000200774
105,2212.33,1.74308,0.12115,0.26585,0.06057,0.90034,0.9348,0.96806,0.95955,0.90034,0.9348,0.96806,0.95955,1,0.56339,0.01168,0.17023,0.01967,0.000199884,0.000199884,0.000199884
106,2232.98,1.71511,0.11093,0.27452,0.07998,0.91866,0.95499,0.9736,0.96138,0.91866,0.95499,0.9736,0.96138,1,0.592,0.0116,0.12981,0.02061,0.000198988,0.000198988,0.000198988
107,2255.14,1.59235,0.09521,0.25698,0.03434,0.91704,0.95676,0.97816,0.96893,0.91704,0.95676,0.97816,0.96893,0.99737,0.54817,0.01077,0.12968,0.01788,0.000198087,0.000198087,0.000198087
108,2276.02,1.66241,0.10587,0.25338,0.05607,0.92018,0.94496,0.9722,0.96279,0.92018,0.94496,0.9722,0.96279,1,0.6081,0.01059,0.1268,0.02058,0.00019718,0.00019718,0.00019718
